bookId,COUNT(*),cnum
53802,125,125
53806,207,207
54118,160,160
54253,1173,1173
54257,2872,2872
54263,1815,1815
54272,611,611
54274,2515,2515
54279,438,438
54280,1715,1715
54285,891,891
54288,614,614
54290,622,622
54293,1600,1600
54299,3260,3260
54305,2312,2312
54309,2037,2038
54316,1108,1108
54319,159,159
54320,317,319
54322,2968,2968
54328,205,205
54330,1055,1055
54332,615,615
54334,15,166
54336,1265,1265
54384,171,245
54389,612,612
54391,287,288
54394,200,200
54395,58,58
54398,1413,1413
54399,393,393
54401,2134,2134
54403,113,113
54404,406,406
54406,675,675
54407,55,340
54409,93,115
54411,425,425
54412,578,578
54413,600,601
54415,177,177
54417,86,86
54418,587,587
54419,110,110
54420,1045,1045
54421,330,330
54423,242,244
54424,776,776
54425,283,293
54427,897,897
54428,1808,1808
54429,1253,1253
54431,816,816
54434,155,155
54435,179,179
54436,1693,1693
54437,241,241
54439,309,309
54440,380,380
54441,185,185
54443,116,116
54444,178,178
54445,144,145
54446,510,510
54447,114,174
54449,1059,1059
54450,511,653
54452,254,255
54453,1433,1433
54454,644,644
54457,339,339
54459,740,741
54460,303,303
54461,708,709
54463,988,988
54464,678,678
54467,616,616
54470,348,348
54471,218,218
54472,520,530
54473,217,220
54474,34,114
54477,1360,1360
54478,112,112
54480,2439,2439
54481,693,693
54484,442,442
54487,174,428
54488,876,877
54984,884,884
54985,111,111
54988,80,80
54990,595,595
54991,195,196
54993,151,151
54995,853,853
54997,261,261
54999,1008,1008
55003,773,773
55006,113,126
55008,249,249
55012,127,127
55014,2044,2044
55016,171,171
55018,50,51
55019,10,328
55021,1265,1265
55023,691,691
55026,1038,1038
55027,919,921
55028,140,140
55029,353,353
55030,135,136
55032,1992,1992
55033,937,938
55034,570,570
55035,683,683
55038,174,174
55040,766,766
55042,393,393
55044,216,216
55045,1692,1692
55046,837,837
55047,120,120
55049,107,107
55050,965,965
55052,111,158
55054,1137,1137
55056,355,355
55058,335,335
55060,1058,1058
55061,213,213
55063,1156,1156
55065,142,142
55066,140,141
55067,460,668
55069,150,150
55070,679,679
55071,2,671
55072,396,397
55075,209,209
55076,659,659
55077,518,518
55080,760,853
55082,130,130
55083,630,630
55085,354,354
55086,649,649
55087,74,74
55088,542,542
55089,339,339
55090,527,528
55091,629,629
55093,411,598
55094,101,101
55098,157,176
55100,64,167
55101,262,262
55103,689,689
55105,323,323
55106,38,138
55107,61,61
55108,1100,1100
55109,927,927
55110,157,358
55111,101,101
55113,36,131
55115,687,687
55116,130,130
55117,761,763
55118,330,330
55120,161,161
55121,273,273
55122,61,61
55123,550,550
55124,691,692
55127,91,91
55129,484,484
55130,226,226
55133,187,187
55134,187,187
55135,150,150
55137,417,418
55138,182,183
55139,442,442
55140,167,167
55141,1205,1206
55142,236,236
55143,606,606
55144,392,438
55145,266,267
55146,845,845
55147,231,232
55148,484,516
55149,1492,1492
55150,80,89
55153,233,233
55154,273,273
55155,313,313
55156,97,97
55157,67,67
55159,2256,2256
55160,426,426
55161,430,430
55164,46,46
55165,603,603
55166,97,97
55169,484,484
55170,931,931
55171,659,660
55173,523,523
55174,323,323
55175,92,1141
55178,594,594
55179,92,93
55180,403,403
55181,775,775
55182,221,222
55183,34,78
55184,314,314
55185,760,760
55187,257,257
55188,120,120
55189,347,347
55190,483,638
55191,154,155
55192,150,150
55193,468,468
55196,1400,1400
55197,149,149
55199,147,148
55200,77,128
55201,420,420
55202,419,419
55204,103,103
55206,223,223
55207,84,84
55209,117,117
55210,410,410
55212,453,453
55214,275,275
55215,7,7
55218,563,563
55219,106,106
55220,817,817
55222,436,436
55224,66,66
55225,72,72
55226,852,852
55227,281,281
55228,804,804
55229,658,658
55230,110,111
55231,45,91
55232,1454,1454
55233,505,506
55235,665,665
55238,508,508
55239,431,431
55240,170,225
55242,57,57
55243,251,450
55245,1921,1921
55246,338,338
55248,904,904
55249,252,253
55250,108,108
55251,1406,1406
55253,69,114
55254,409,409
55257,948,948
55259,529,529
55260,187,188
55261,354,354
55262,585,586
55263,337,337
55264,100,221
55266,901,901
55270,152,152
55271,424,424
55273,174,351
55275,1769,1769
55277,95,103
55279,1337,1338
55282,385,385
55284,812,812
55285,353,353
55286,4238,4245
55287,442,442
55289,715,716
55290,189,189
55291,1503,1503
55292,293,294
55293,119,278
55295,205,451
55297,292,292
55298,1,90
55300,30,178
55302,398,398
55303,23,42
55304,129,129
55306,326,327
55307,846,846
55310,331,331
55311,179,179
55312,400,400
55313,2137,2137
55315,394,394
55316,180,180
55317,395,395
55318,559,559
55319,334,334
55320,1038,1038
55323,213,214
55324,271,1817
55325,61,61
55326,1,55
55328,182,182
55329,1076,1076
55330,231,244
55331,368,368
55332,863,863
55333,130,130
55334,685,685
55335,164,164
55336,10,107
55337,7,38
55338,443,443
55339,267,461
55342,245,245
55346,484,484
55347,120,121
55349,98,98
55352,245,245
55353,291,291
55355,133,133
55356,2060,2061
55358,20,82
55359,2393,2393
55363,748,748
55364,148,149
55365,723,723
55366,455,455
55368,1599,1600
55369,442,443
55371,306,307
55373,128,130
55376,108,108
55377,108,109
55378,1461,1461
55380,619,619
55381,43,118
55382,36,142
55384,364,365
55385,945,945
55386,4,85
55387,773,773
55388,1331,1331
55389,295,2011
55390,219,221
55391,2343,2345
55392,288,288
55394,1,908
55396,328,328
55400,1744,1744
55401,472,473
55404,1631,1631
55406,443,444
55407,676,676
55409,859,863
55411,784,784
55412,180,180
55413,112,355
55415,642,642
55417,518,518
55418,806,806
55420,414,414
55421,11,188
55422,744,744
55423,420,420
55425,1104,1104
55426,4636,4636
55427,281,283
55428,225,452
55429,857,857
55430,350,350
55431,406,406
55432,91,91
55435,772,772
55437,132,154
55438,998,998
55439,380,382
55440,90,90
55441,323,323
55442,145,344
55443,71,137
55444,489,490
55446,471,471
55448,146,147
55450,468,470
55451,2,180
55452,144,145
55453,821,821
55454,56,78
55455,438,438
55456,803,830
55458,3809,3809
55459,186,186
55460,426,426
55462,413,414
55463,262,275
55464,1087,1475
55465,913,913
55466,68,228
55470,159,159
55471,490,509
55474,47,125
55475,33,131
55477,35,130
55478,473,473
55479,419,420
55481,1544,1544
55482,22,205
55483,662,663
55484,201,201
55485,188,188
55486,326,380
55487,233,233
55491,393,412
55493,238,238
55495,248,248
55496,470,470
55498,1337,1337
55499,64,65
55500,76,76
55501,277,278
55502,217,217
55503,160,162
55504,315,316
55506,322,322
55507,726,726
55508,41,154
55509,33,33
55510,391,391
55511,1328,1328
55517,814,814
55518,394,394
55521,118,183
55522,3190,3190
55526,741,742
55527,302,303
55529,893,913
55531,1115,1115
55532,658,658
55535,104,104
55537,314,314
55541,78,78
55542,72,73
55544,126,200
55546,62,221
55547,507,507
55548,497,497
55550,284,284
55551,136,136
55552,240,241
55553,572,572
55554,154,154
55555,64,68
55556,84,118
55557,365,366
55558,647,693
55559,370,370
55560,168,174
55562,312,312
55563,535,535
55564,44,283
55566,149,156
55567,396,397
55568,332,333
55569,176,176
55570,621,622
55571,1239,1239
55573,54,55
55575,810,810
55576,4076,4076
55577,840,840
55578,168,168
55580,173,174
55581,679,679
55582,111,2071
55585,885,885
55586,210,210
55587,361,361
55589,293,309
55590,121,121
55591,983,983
55592,673,674
55593,44,111
55594,409,409
55597,661,661
55598,67,67
55599,995,995
55600,945,945
55602,454,454
55603,2285,2346
