bookId,COUNT(*),cnum
51,83,83
53,144,144
55,152,152
59,11,11
60,24,24
61,8,8
64,13,13
67,131,131
68,116,116
70,70,70
71,24,24
72,11,11
74,30,30
75,110,110
76,31,31
77,4,4
78,14,14
79,37,37
80,5,5
82,55,55
83,15,15
85,58,58
86,41,41
88,5,5
90,39,39
91,4,4
96,42,42
97,147,147
98,26,26
100,25,25
101,5,5
105,84,84
106,14,14
109,119,119
110,2,2
111,92,92
112,55,55
115,31,31
116,25,25
118,38,38
119,3,3
122,88,88
128,198,198
129,109,109
133,80,80
135,26,26
137,11,11
138,4,4
141,27,27
142,33,33
143,69,69
144,10,10
146,145,145
147,58,58
152,52,52
153,115,115
157,6,6
161,13,13
163,44,44
164,50,50
166,42,42
169,35,35
170,19,19
171,142,142
174,183,183
176,2,2
177,96,96
179,119,119
183,32,32
184,30,30
186,133,133
188,7,7
192,109,109
195,60,60
197,8,8
198,61,61
199,167,167
200,52,52
201,26,26
202,2,2
203,36,36
204,36,36
205,115,115
206,33,33
207,41,41
209,2,2
211,12,12
212,9,9
214,53,53
215,44,44
216,19,19
217,71,71
222,20,20
225,21,21
227,63,63
228,10,10
229,11,11
231,17,17
237,7,7
239,22,22
240,21,21
242,7,7
245,6,6
246,20,20
247,104,104
248,2,2
249,5,5
251,19,19
253,3,3
254,19,19
255,24,24
256,29,29
257,59,59
258,3,3
259,7,7
261,8,8
262,3,3
263,2,2
264,5,5
265,20,20
266,38,38
268,12,12
269,9,9
272,24,24
273,36,36
274,8,8
275,18,18
278,8,8
279,44,44
280,2,2
281,16,16
284,3,3
285,3,3
286,36,36
290,2,2
291,16,16
292,6,6
293,2,2
294,2,2
295,51,51
296,15,15
297,11,11
298,84,84
299,65,65
303,10,10
304,5,5
305,2,2
306,44,44
307,24,24
308,29,29
309,11,11
311,29,29
312,82,82
313,84,84
314,3,3
315,18,18
316,21,21
319,65,65
320,61,61
321,10,10
324,11,11
326,7,7
329,25,25
330,19,19
332,10,10
337,57,57
338,37,37
339,8,8
340,2,2
341,32,32
342,143,143
343,10,10
344,9,9
345,9,9
